Date,Open,High,Low,Close,Adj Close,Volume
05/08/16,536,536.724976,530,534,463.915833,5609968
08/08/16,534.5,540.5,531.275024,539.349976,468.56366,4643064
09/08/16,538.5,542.25,535.75,541.700012,470.605255,7192664
10/08/16,538,543.950012,537.599976,541.174988,470.149109,5576454
11/08/16,540.849976,547.5,537.625,538.674988,467.977203,5038552
12/08/16,537.525024,539.400024,530,531.275024,461.548431,7449928
16/08/16,521,529.025024,514,525.900024,456.878937,16429408
17/08/16,524.974976,526.325012,515.25,516.650024,448.842896,6599316
18/08/16,518.25,519.549988,510.75,511.700012,444.542542,8434000
19/08/16,515,519.5,509.225006,510.649994,443.630341,5686016
22/08/16,509,515,504.549988,507.725006,441.089264,10253518
23/08/16,510.049988,521,510.049988,519.825012,451.601257,7406138
24/08/16,523.5,531.025024,523.5,528.700012,459.311432,6129966
25/08/16,527.5,528.799988,516.049988,518.075012,450.080902,4796562
26/08/16,518,523,508.524994,510.125,443.174255,6881054
29/08/16,508.799988,515,505.5,511.399994,444.281921,5220282
30/08/16,516.224976,522.5,512.5,520.200012,451.926971,4375438
31/08/16,518.549988,522.875,513.900024,517.924988,449.950562,11139814
01/09/16,519,520.224976,516,518.775024,450.689026,2877826
02/09/16,519.525024,520,513.099976,515.924988,448.213043,3332592
06/09/16,519.125,524.450012,517.799988,522.5,453.925079,8215044
07/09/16,524,529.5,522,527.174988,457.986603,7425470
08/09/16,522.5,522.5,512,518.825012,450.732452,9092774
09/09/16,518.5,520.5,513.275024,517.75,449.798553,5053438
12/09/16,512.625,529,512.625,527,457.834503,6203096
14/09/16,526.974976,528.900024,520.325012,522.799988,454.18573,5152418
15/09/16,522.799988,523.400024,517.674988,521.099976,452.708801,4701722
16/09/16,524.5,532.25,519.049988,530.075012,460.50592,9949384
19/09/16,523,534.450012,520.674988,530.599976,460.962036,5809154
20/09/16,526.650024,528.575012,522.875,525.075012,456.162231,4214004
21/09/16,527,530.625,525.525024,527.875,458.594727,4231532
22/09/16,529.5,530.5,526,529.400024,459.919556,3629514
23/09/16,528.5,529.400024,520,521.275024,452.860931,5205294
26/09/16,521.375,522,515.5,517.950012,449.972229,6371798
